CustomerID,Gender,Age,phone number,Annual Income (k$),Spending Score (1-100)
109,Male,68,"""+919705546784""",63,43
110,Male,66,"""+919705546784""",63,48
111,Male,65,"""+919705546784""",63,52
112,Female,19,"""+919705546784""",63,54
113,Female,38,"""+919705546784""",64,42
114,Male,19,"""+919705546784""",64,46
115,Female,18,"""+919705546784""",65,48
116,Female,19,"""+919705546784""",65,50
117,Female,63,"""+919705546784""",65,43
118,Female,49,"""+919705546784""",65,59
119,Female,51,"""+919705546784""",67,43
120,Female,50,"""+919705546784""",67,57
121,Male,27,"""+919705546784""",67,56
122,Female,38,"""+919705546784""",67,40
123,Female,40,"""+919705546784""",69,58
124,Male,39,"""+919705546784""",69,91
125,Female,23,"""+919440086495""",70,29
126,Female,31,"""+919705546784""",70,77
127,Male,43,"""+919705546784""",71,35
128,Male,40,"""+919705546784""",71,95
129,Male,59,"""+919705546784""",71,11
130,Male,38,"""+919705546784""",71,75
131,Male,47,"""+919705546784""",71,9
132,Male,39,"""+919705546784""",71,75
133,Female,25,"""+919705546784""",72,34
134,Female,31,"""+919705546784""",72,71
135,Male,20,"""+919705546784""",73,5
136,Female,29,"""+919705546784""",73,88
137,Female,44,"""+919705546784""",73,7
138,Male,32,"""+919705546784""",73,73
139,Male,19,"""+919705546784""",74,10
140,Female,35,"""+919705546784""",74,72
141,Female,57,"""+919705546784""",75,5
142,Male,32,"""+919705546784""",75,93
143,Female,28,"""+919705546784""",76,40
144,Female,32,"""+919705546784""",76,87
145,Male,25,"""+919705546784""",77,12
146,Male,28,"""+919705546784""",77,97
147,Male,48,"""+919705546784""",77,36
148,Female,32,"""+919705546784""",77,74
149,Female,34,"""+919705546784""",78,22
150,Male,34,"""+919705546784""",78,90
151,Male,43,"""+919705546784""",78,17
152,Male,39,"""+919705546784""",78,88
153,Female,44,"""+919705546784""",78,20
154,Female,38,"""+919705546784""",78,76
155,Female,47,"""+919705546784""",78,16
156,Female,27,"""+919705546784""",78,89
157,Male,37,"""+919705546784""",78,1
158,Female,30,"""+919705546784""",78,78
159,Male,34,"""+919705546784""",78,1
160,Female,30,"""+919705546784""",78,73
161,Female,56,"""+919705546784""",79,35
162,Female,29,"""+919705546784""",79,83
163,Male,19,"""+919705546784""",81,5
164,Female,31,"""+919705546784""",81,93
165,Male,50,"""+919705546784""",85,26
166,Female,36,"""+919705546784""",85,75
167,Male,42,"""+919705546784""",86,20
168,Female,33,"""+919705546784""",86,95
169,Female,36,"""+919705546784""",87,27
170,Male,32,"""+919705546784""",87,63
171,Male,40,"""+919705546784""",87,13
172,Male,28,"""+919705546784""",87,75
173,Male,36,"""+919705546784""",87,10
174,Male,36,"""+919705546784""",87,92
175,Female,52,"""+919705546784""",88,13
176,Female,30,"""+919705546784""",88,86
177,Male,58,"""+919705546784""",88,15
178,Male,27,"""+919705546784""",88,69
179,Male,59,"""+919705546784""",93,14
180,Male,35,"""+919705546784""",93,90
181,Female,37,"""+919705546784""",97,32
182,Female,32,"""+919705546784""",97,86
183,Male,46,"""+919705546784""",98,15
184,Female,29,"""+919705546784""",98,88
185,Female,41,"""+919705546784""",99,39
186,Male,30,"""+919705546784""",99,97
187,Female,54,"""+919705546784""",101,24
188,Male,28,"""+919705546784""",101,68
189,Female,41,"""+919705546784""",103,17
190,Female,36,"""+919705546784""",103,85
191,Female,34,"""+919705546784""",103,23
192,Female,32,"""+919705546784""",103,69
193,Male,33,"""+919705546784""",113,8
194,Female,38,"""+919705546784""",113,91
195,Female,47,"""+919705546784""",120,16
196,Female,35,"""+919705546784""",120,79
197,Female,45,"""+919705546784""",126,28
198,Male,32,"""+919705546784""",126,74
199,Male,32,"""+919705546784""",137,18
200,Male,30,"""+919705546784""",137,83
